date,EMA
2016-04-04,39.2741
2016-04-01,39.1665
2016-03-31,39.0313
2016-03-30,38.9143
2016-03-29,38.7764
2016-03-28,38.6487
2016-03-24,38.5724
2016-03-23,38.4776
2016-03-22,38.3842
2016-03-21,38.2571
2016-03-18,38.1177
2016-03-17,37.9778
2016-03-16,37.8299
2016-03-15,37.6816
2016-03-14,37.5651
2016-03-11,37.4514
2016-03-10,37.3305
2016-03-09,37.2586
2016-03-08,37.1752
2016-03-07,37.1172
2016-03-04,37.0285
2016-03-03,36.9057
2016-03-02,36.7805
2016-03-01,36.6421
2016-02-29,36.5004
2016-02-26,36.4596
2016-02-25,36.3869
2016-02-24,36.2961
2016-02-23,36.2441
2016-02-22,36.2161
2016-02-19,36.1235
2016-02-18,36.0723
2016-02-17,36.0185
2016-02-16,35.944
2016-02-12,35.9393
2016-02-11,36.0004
2016-02-10,36.1192
2016-02-09,36.241
2016-02-08,36.3832
2016-02-05,36.5234
2016-02-04,36.6242
2016-02-03,36.6276
2016-02-02,36.6352
2016-02-01,36.6388
2016-01-29,36.5727
2016-01-28,36.5138
2016-01-27,36.5681
2016-01-26,36.6765
2016-01-25,36.7177
2016-01-22,36.8001
2016-01-21,36.8467
2016-01-20,37.0015
2016-01-19,37.1934
2016-01-15,37.3762
2016-01-14,37.5819
2016-01-13,37.7013
2016-01-12,37.9044
2016-01-11,38.0245
2016-01-08,38.2028
2016-01-07,38.4245
2016-01-06,38.6392
2016-01-05,38.76
2016-01-04,38.8442
2015-12-31,38.9268
2015-12-30,38.965
2015-12-29,38.9494
2015-12-28,38.8972
2015-12-24,38.8953
2015-12-23,38.8904
2015-12-22,38.8831
2015-12-21,38.9091
2015-12-18,38.9673
2015-12-17,39.0724
2015-12-16,39.1098
2015-12-15,39.0861
2015-12-14,39.1156
2015-12-11,39.1661
2015-12-10,39.253
2015-12-09,39.2633
2015-12-08,39.286
2015-12-07,39.2497
2015-12-04,39.1993
2015-12-03,39.1228
2015-12-02,39.1392
2015-12-01,39.1035
2015-11-30,39.0377
2015-11-27,39.0017
2015-11-25,38.9667
2015-11-24,38.9373
2015-11-23,38.8918
2015-11-20,38.8423
2015-11-19,38.7631
2015-11-18,38.7058
2015-11-17,38.6613
2015-11-16,38.6734
2015-11-13,38.6877
2015-11-12,38.7648
2015-11-11,38.7699
2015-11-10,38.7397
2015-11-09,38.7044
2015-11-06,38.638
2015-11-05,38.5242
2015-11-04,38.4125
2015-11-03,38.2767
2015-11-02,38.1314
2015-10-30,37.9925
2015-10-29,37.8757
2015-10-28,37.7193
2015-10-27,37.5352
2015-10-26,37.3929
2015-10-23,37.2121
2015-10-22,36.9962
2015-10-21,36.8698
2015-10-20,36.8187
2015-10-19,36.7321
2015-10-16,36.626
2015-10-15,36.5238
2015-10-14,36.4184
2015-10-13,36.3518
2015-10-12,36.2708
2015-10-09,36.1727
2015-10-08,36.069
2015-10-07,35.9713
2015-10-06,35.8813
2015-10-05,35.7997
2015-10-02,35.7143
2015-10-01,35.6943
2015-09-30,35.7251
2015-09-29,35.76
2015-09-28,35.8722
2015-09-25,35.9802
2015-09-24,36.0137
2015-09-23,36.0441
2015-09-22,36.0777
2015-09-21,36.1243
2015-09-18,36.1117
2015-09-17,36.1355
2015-09-16,36.1124
2015-09-15,36.0605
2015-09-14,36.0191
2015-09-11,36.0222
2015-09-10,36.0163
2015-09-09,36.0275
2015-09-08,36.0775
2015-09-04,36.0829
2015-09-03,36.1922
