date,EMA
2015-10-15,15.6946
2015-10-14,15.7936
2015-10-13,15.9342
2015-10-12,16.0728
2015-10-09,16.2519
2015-10-08,16.4139
2015-10-07,16.5507
2015-10-06,16.665
2015-10-05,16.7248
2015-10-02,16.7579
2015-10-01,16.7846
2015-09-30,16.868
2015-09-29,16.9004
2015-09-28,16.9486
2015-09-25,16.9893
2015-09-24,16.9747
2015-09-23,16.9151
2015-09-22,16.8636
2015-09-21,16.8076
2015-09-18,16.7228
2015-09-17,16.6541
2015-09-16,16.5681
2015-09-15,16.4718
2015-09-14,16.4262
2015-09-11,16.3785
2015-09-10,16.3465
2015-09-09,16.3235
2015-09-08,16.295
2015-09-04,16.2687
2015-09-03,16.2834
2015-09-02,16.2742
2015-09-01,16.2491
2015-08-31,16.2849
2015-08-28,16.2513
2015-08-27,16.2183
2015-08-26,16.2203
2015-08-25,16.3498
2015-08-24,16.5268
2015-08-21,16.7305
2015-08-20,16.8722
2015-08-19,16.9487
2015-08-18,16.9416
2015-08-17,16.8953
2015-08-14,16.8843
2015-08-13,16.9553
2015-08-12,17.0382
2015-08-11,17.1604
2015-08-10,17.301
2015-08-07,17.4299
2015-08-06,17.5628
2015-08-05,17.6843
2015-08-04,17.6502
2015-08-03,17.6395
2015-07-31,17.6718
2015-07-30,17.6642
2015-07-29,17.6514
2015-07-28,17.6581
2015-07-27,17.6584
2015-07-24,17.7417
2015-07-23,17.7467
2015-07-22,17.7397
2015-07-21,17.7273
2015-07-20,17.7212
2015-07-17,17.6058
2015-07-16,17.5317
2015-07-15,17.5056
2015-07-14,17.5018
2015-07-13,17.4798
2015-07-10,17.4801
2015-07-09,17.5015
2015-07-08,17.5338
2015-07-07,17.5903
2015-07-06,17.562
2015-07-02,17.4477
2015-07-01,17.3193
2015-06-30,17.2536
2015-06-29,17.1872
2015-06-26,17.1577
2015-06-25,17.0894
2015-06-24,17.002
2015-06-23,16.9309
2015-06-22,16.8347
2015-06-19,16.7837
2015-06-18,16.7082
2015-06-17,16.6292
2015-06-16,16.5522
2015-06-15,16.5182
2015-06-12,16.4999
2015-06-11,16.4775
2015-06-10,16.4477
2015-06-09,16.4197
2015-06-08,16.3517
2015-06-05,16.2744
2015-06-04,16.2391
2015-06-03,16.2227
2015-06-02,16.1831
2015-06-01,16.1437
2015-05-29,16.0926
2015-05-28,16.0265
2015-05-27,15.949
2015-05-26,15.8914
2015-05-22,15.8277
2015-05-21,15.7553
2015-05-20,15.6901
2015-05-19,15.627
2015-05-18,15.5376
2015-05-15,15.4275
2015-05-14,15.3052
2015-05-13,15.2033
2015-05-12,15.0971
2015-05-11,14.9688
2015-05-08,14.8639
2015-05-07,14.7681
2015-05-06,14.6609
2015-05-05,14.5871
2015-05-04,14.4878
2015-05-01,14.3952
2015-04-30,14.3243
2015-04-29,14.2458
2015-04-28,14.1142
