date,ADX
2018-01-26,38.6774
2018-01-25,37.3541
2018-01-24,36.1179
2018-01-23,34.8167
2018-01-22,33.6822
2018-01-19,32.6482
2018-01-18,31.8282
2018-01-17,30.965
2018-01-16,30.1641
2018-01-12,29.3211
2018-01-11,28.7225
2018-01-10,28.6788
2018-01-09,28.5051
2018-01-08,27.9787
2018-01-05,27.4762
2018-01-04,27.0045
2018-01-03,26.7715
2018-01-02,26.994
2017-12-29,27.3176
2017-12-28,27.7738
2017-12-27,28.3069
2017-12-26,28.8681
2017-12-22,29.6475
2017-12-21,30.468
2017-12-20,31.0689
2017-12-19,31.7015
2017-12-18,32.0647
2017-12-15,31.8863
2017-12-14,31.8204
2017-12-13,32.1468
2017-12-12,32.0964
2017-12-11,32.0434
2017-12-08,32.201
2017-12-07,32.6345
2017-12-06,33.8161
2017-12-05,35.0598
2017-12-04,36.5777
2017-12-01,38.1754
2017-11-30,38.2969
2017-11-29,38.531
2017-11-28,38.7775
2017-11-27,38.4053
2017-11-24,38.364
2017-11-22,38.523
2017-11-21,38.4821
2017-11-20,38.4597
2017-11-17,38.9067
2017-11-16,39.3772
2017-11-15,39.3261
2017-11-14,39.2723
2017-11-13,39.22
2017-11-10,38.8025
2017-11-09,38.3631
2017-11-08,37.9006
2017-11-07,36.726
2017-11-06,35.4125
2017-11-03,34.0655
2017-11-02,32.6756
2017-11-01,31.2262
2017-10-31,29.8204
2017-10-30,28.1892
2017-10-27,26.4777
2017-10-26,24.3586
2017-10-25,23.7354
2017-10-24,23.2237
2017-10-23,22.2575
2017-10-20,20.9417
2017-10-19,19.6936
2017-10-18,18.8211
2017-10-17,17.9403
2017-10-16,17.1202
2017-10-13,16.1642
2017-10-12,15.1578
2017-10-11,14.3513
2017-10-10,13.9132
2017-10-09,13.2905
2017-10-06,12.6745
2017-10-05,12.2891
2017-10-04,11.8833
2017-10-03,12.2693
2017-10-02,12.3021
2017-09-29,12.2575
2017-09-28,12.5065
2017-09-27,13.1525
2017-09-26,13.8326
2017-09-25,14.3232
2017-09-22,14.8396
2017-09-21,15.2317
2017-09-20,15.451
2017-09-19,15.5317
2017-09-18,15.0575
2017-09-15,14.5333
2017-09-14,14.2787
2017-09-13,13.6415
2017-09-12,13.1
2017-09-11,12.5299
2017-09-08,12.0712
2017-09-07,11.8411
2017-09-06,11.5988
2017-09-05,11.6295
2017-09-01,11.7406
2017-08-31,11.4219
2017-08-30,10.9766
2017-08-29,10.8689
2017-08-28,11.344
2017-08-25,11.5132
2017-08-24,11.6913
2017-08-23,12.158
2017-08-22,12.3553
2017-08-21,12.5631
2017-08-18,13.2065
2017-08-17,13.7466
2017-08-16,14.0272
2017-08-15,13.8081
2017-08-14,13.8365
2017-08-11,14.0036
2017-08-10,14.7133
2017-08-09,15.1261
2017-08-08,15.8436
2017-08-07,16.5989
2017-08-04,17.0588
2017-08-03,17.5428
2017-08-02,18.3985
2017-08-01,19.2992
2017-07-31,19.5736
2017-07-28,19.8623
2017-07-27,20.2314
2017-07-26,20.6199
2017-07-25,19.9897
2017-07-24,19.3543
2017-07-21,18.9128
2017-07-20,18.419
2017-07-19,17.8219
2017-07-18,17.2909
2017-07-17,16.9858
2017-07-14,16.6264
2017-07-13,16.3167
2017-07-12,16.5003
2017-07-11,17.0566
2017-07-10,17.9541
2017-07-07,18.6625
2017-07-06,19.1752
2017-07-05,19.0487
2017-07-03,18.959
2017-06-30,18.8646
2017-06-29,19.0714
2017-06-28,19.289
2017-06-27,19.8263
2017-06-26,20.5728
2017-06-23,21.2977
2017-06-22,22.2949
2017-06-21,23.2344
2017-06-20,24.342
2017-06-19,25.5079
2017-06-16,26.7264
2017-06-15,27.782
2017-06-14,28.8932
2017-06-13,30.3605
2017-06-12,31.7467
2017-06-09,33.1884
2017-06-08,34.9341
2017-06-07,34.8047
2017-06-06,34.2478
2017-06-05,33.3487
2017-06-02,32.4021
2017-06-01,31.7512
2017-05-31,31.6012
2017-05-30,31.0686
2017-05-26,30.6565
2017-05-25,30.3101
2017-05-24,30.1057
2017-05-23,30.4334
2017-05-22,30.8573
2017-05-19,31.4564
2017-05-18,32.3458
2017-05-17,33.2821
2017-05-16,34.0199
2017-05-15,34.1124
2017-05-12,35.0483
2017-05-11,35.5171
2017-05-10,35.9188
2017-05-09,35.3237
2017-05-08,34.8444
2017-05-05,34.4659
2017-05-04,33.98
2017-05-03,33.2624
2017-05-02,32.4152
2017-05-01,30.9553
2017-04-28,29.4749
2017-04-27,28.0672
2017-04-26,26.9092
2017-04-25,25.7229
2017-04-24,24.6014
2017-04-21,23.6112
2017-04-20,23.1522
2017-04-19,23.4733
2017-04-18,23.8112
2017-04-17,23.7882
2017-04-13,23.9633
2017-04-12,24.1475
2017-04-11,24.6649
2017-04-10,25.2095
2017-04-07,25.1022
2017-04-06,24.8744
2017-04-05,24.5787
2017-04-04,24.2674
2017-04-03,24.3465
2017-03-31,24.4296
2017-03-30,24.1892
2017-03-29,24.0876
2017-03-28,24.3558
2017-03-27,24.6627
2017-03-24,25.1907
2017-03-23,25.2611
2017-03-22,25.5025
2017-03-21,25.8311
2017-03-20,26.1658
2017-03-17,25.8182
2017-03-16,25.4522
2017-03-15,25.3819
2017-03-14,25.3079
2017-03-13,25.4844
2017-03-10,25.1783
2017-03-09,24.6334
2017-03-08,24.0948
2017-03-07,23.5935
2017-03-06,23.2456
2017-03-03,23.0085
2017-03-02,22.9315
2017-03-01,22.5771
2017-02-28,22.0532
2017-02-27,21.9721
2017-02-24,21.5774
2017-02-23,21.0632
2017-02-22,20.562
2017-02-21,20.2253
2017-02-17,19.4543
2017-02-16,18.7799
2017-02-15,17.9245
2017-02-14,17.3833
2017-02-13,16.8137
2017-02-10,16.3522
2017-02-09,16.1959
2017-02-08,16.0313
2017-02-07,16.2509
2017-02-06,16.5018
2017-02-03,16.8486
2017-02-02,17.2137
2017-02-01,17.7737
2017-01-31,17.8258
2017-01-30,17.1987
2017-01-27,16.0084
2017-01-26,14.6639
2017-01-25,13.9269
2017-01-24,13.4174
2017-01-23,13.1222
2017-01-20,13.2672
2017-01-19,13.6606
2017-01-18,14.0747
2017-01-17,14.7365
2017-01-13,15.4332
2017-01-12,15.9031
2017-01-11,16.3977
2017-01-10,16.5173
2017-01-09,16.748
2017-01-06,16.7717
2017-01-05,16.7967
2017-01-04,17.1199
2017-01-03,17.3907
2016-12-30,17.6722
2016-12-29,17.9684
2016-12-28,17.7717
2016-12-27,17.4889
2016-12-23,16.9016
2016-12-22,16.5197
2016-12-21,15.6394
2016-12-20,14.8821
2016-12-19,14.0848
2016-12-16,13.2577
2016-12-15,12.7302
2016-12-14,12.0431
2016-12-13,11.1572
2016-12-12,10.2361
2016-12-09,9.7227
2016-12-08,9.3212
2016-12-07,9.0867
2016-12-06,8.9328
2016-12-05,9.2253
2016-12-02,9.5332
2016-12-01,9.6009
2016-11-30,9.7398
2016-11-29,9.9105
2016-11-28,9.9003
2016-11-25,10.0926
2016-11-23,10.5612
2016-11-22,10.9868
2016-11-21,11.1157
2016-11-18,11.397
2016-11-17,11.6931
2016-11-16,12.0952
2016-11-15,12.2729
2016-11-14,12.363
2016-11-11,11.9816
2016-11-10,11.9015
2016-11-09,11.8171
2016-11-08,12.3628
2016-11-07,12.3479
2016-11-04,12.468
2016-11-03,12.9225
2016-11-02,13.4242
2016-11-01,13.8244
2016-10-31,14.2456
2016-10-28,14.2385
2016-10-27,14.2311
2016-10-26,13.869
2016-10-25,13.2108
2016-10-24,12.2706
2016-10-21,11.4306
2016-10-20,10.7799
2016-10-19,10.7723
2016-10-18,11.3352
2016-10-17,11.9234
2016-10-14,12.1474
2016-10-13,12.5772
2016-10-12,12.6381
2016-10-11,12.7643
2016-10-10,13.2683
2016-10-07,13.2402
2016-10-06,13.5509
2016-10-05,13.9817
2016-10-04,14.4351
2016-10-03,15.168
2016-09-30,15.9159
2016-09-29,16.4609
2016-09-28,17.0346
2016-09-27,17.2356
2016-09-26,17.4472
2016-09-23,18.3578
2016-09-22,18.8233
2016-09-21,19.0707
2016-09-20,19.4423
2016-09-19,20.2243
2016-09-16,20.9577
2016-09-15,21.8232
2016-09-14,22.9543
2016-09-13,23.5513
2016-09-12,24.1945
2016-09-09,24.8716
2016-09-08,26.0228
2016-09-07,26.6894
2016-09-06,27.1607
2016-09-02,27.6854
2016-09-01,28.0289
2016-08-31,28.6396
2016-08-30,28.9958
2016-08-29,29.0508
2016-08-26,28.5635
2016-08-25,28.0505
2016-08-24,27.722
2016-08-23,27.5117
2016-08-22,27.1481
2016-08-19,26.9939
2016-08-18,26.8424
2016-08-17,26.6156
2016-08-16,26.3865
2016-08-15,26.1733
2016-08-12,25.6621
2016-08-11,25.2542
2016-08-10,24.4668
2016-08-09,23.6871
2016-08-08,22.6954
2016-08-05,21.7972
2016-08-04,20.8518
2016-08-03,20.104
2016-08-02,19.474
2016-08-01,18.8928
2016-07-29,18.3388
2016-07-28,17.7556
2016-07-27,17.2847
2016-07-26,16.5359
2016-07-25,15.4819
2016-07-22,14.5487
2016-07-21,13.6029
2016-07-20,12.7353
2016-07-19,11.8221
2016-07-18,12.0273
2016-07-15,11.8581
2016-07-14,11.8433
2016-07-13,11.5955
2016-07-12,11.3931
2016-07-11,11.3886
2016-07-08,11.6556
2016-07-07,12.1728
2016-07-06,12.5052
2016-07-05,12.816
2016-07-01,13.3121
2016-06-30,13.9957
2016-06-29,14.5045
2016-06-28,14.7367
2016-06-27,14.2421
2016-06-24,13.51
2016-06-23,13.361
2016-06-22,14.0134
2016-06-21,14.3953
2016-06-20,14.7764
2016-06-17,14.7489
2016-06-16,14.4131
2016-06-15,14.0595
2016-06-14,13.4221
2016-06-13,12.7362
2016-06-10,12.0141
2016-06-09,12.2353
2016-06-08,12.7491
2016-06-07,13.3002
2016-06-06,13.7252
2016-06-03,14.4089
2016-06-02,15.1286
2016-06-01,15.7421
2016-05-31,16.0004
2016-05-27,16.2724
2016-05-26,16.9237
2016-05-25,17.8038
2016-05-24,18.4753
2016-05-23,19.2592
2016-05-20,19.3831
2016-05-19,19.7429
2016-05-18,19.6677
2016-05-17,19.8451
2016-05-16,20.0644
2016-05-13,20.1955
2016-05-12,20.4795
2016-05-11,20.7212
2016-05-10,21.0135
2016-05-09,20.8727
2016-05-06,20.3584
2016-05-05,19.6751
2016-05-04,18.8917
2016-05-03,17.8993
2016-05-02,16.8983
2016-04-29,15.8994
2016-04-28,14.5221
2016-04-27,13.1287
2016-04-26,11.9429
2016-04-25,10.8611
2016-04-22,9.8965
2016-04-21,8.881
2016-04-20,8.5971
2016-04-19,8.2449
2016-04-18,7.7284
2016-04-15,7.2775
2016-04-14,7.1658
2016-04-13,7.2485
2016-04-12,7.4157
2016-04-11,7.6204
2016-04-08,7.8727
2016-04-07,8.1257
2016-04-06,8.4976
2016-04-05,8.8891
2016-04-04,9.2739
2016-04-01,9.3698
2016-03-31,9.4957
2016-03-30,9.465
2016-03-29,9.4105
2016-03-28,9.7113
2016-03-24,10.1345
2016-03-23,10.5561
2016-03-22,11.0428
2016-03-21,11.555
2016-03-18,12.0897
2016-03-17,12.5724
2016-03-16,12.8267
2016-03-15,13.2554
2016-03-14,13.7659
2016-03-11,14.3033
2016-03-10,14.641
2016-03-09,14.9394
2016-03-08,15.5109
2016-03-07,15.8067
2016-03-04,15.974
2016-03-03,16.5556
2016-03-02,17.1939
2016-03-01,18.0029
2016-02-29,18.7139
2016-02-26,19.0907
2016-02-25,19.6316
2016-02-24,19.9697
2016-02-23,20.0796
2016-02-22,20.4276
2016-02-19,21.2176
2016-02-18,21.7636
2016-02-17,22.5272
2016-02-16,23.2621
2016-02-12,23.3408
2016-02-11,23.0681
2016-02-10,22.5064
2016-02-09,22.171
2016-02-08,21.7469
2016-02-05,20.9822
2016-02-04,20.5099
2016-02-03,20.5368
2016-02-02,20.5651
2016-02-01,21.0551
2016-01-29,22.009
2016-01-28,23.013
2016-01-27,22.8936
2016-01-26,22.7615
2016-01-25,22.8218
2016-01-22,22.9232
2016-01-21,22.8472
2016-01-20,22.3199
2016-01-19,21.6417
2016-01-15,21.2256
2016-01-14,20.8796
2016-01-13,20.954
2016-01-12,21.0323
2016-01-11,20.552
2016-01-08,19.8928
2016-01-07,19.4188
2016-01-06,18.9199
2016-01-05,18.9449
2016-01-04,19.3449
2015-12-31,19.43
2015-12-30,20.3874
2015-12-29,20.845
2015-12-28,21.3267
2015-12-24,22.3312
2015-12-23,23.1003
2015-12-22,23.9543
2015-12-21,25.0753
2015-12-18,26.328
2015-12-17,27.6467
2015-12-16,28.107
2015-12-15,28.8634
2015-12-14,29.8404
2015-12-11,31.2556
2015-12-10,32.5358
2015-12-09,33.1789
2015-12-08,33.8558
2015-12-07,34.2053
2015-12-04,34.3372
2015-12-03,34.476
2015-12-02,34.8064
2015-12-01,34.2372
2015-11-30,33.8985
2015-11-27,33.6451
2015-11-25,33.7459
2015-11-24,33.852
2015-11-23,33.9636
2015-11-20,33.9478
2015-11-19,33.9917
2015-11-18,33.641
2015-11-17,33.5103
2015-11-16,33.5422
2015-11-13,33.5771
2015-11-12,33.8405
2015-11-11,33.6317
2015-11-10,33.2035
2015-11-09,32.7746
2015-11-06,32.1086
2015-11-05,31.1037
2015-11-04,30.1148
2015-11-03,29.0306
2015-11-02,28.0047
2015-10-30,27.1892
2015-10-29,26.3308
2015-10-28,25.0188
2015-10-27,23.6378
2015-10-26,21.6891
2015-10-23,19.6462
2015-10-22,17.5374
2015-10-21,16.6637
2015-10-20,16.1861
2015-10-19,15.7742
2015-10-16,15.3405
2015-10-15,15.0491
2015-10-14,15.0024
2015-10-13,14.9532
2015-10-12,14.8812
2015-10-09,14.8333
2015-10-08,14.5138
2015-10-07,14.1878
2015-10-06,13.9113
2015-10-05,13.4603
2015-10-02,13.0924
2015-10-01,13.2498
2015-09-30,13.8089
2015-09-29,14.4416
2015-09-28,14.7054
2015-09-25,15.0564
2015-09-24,15.693
2015-09-23,16.0375
2015-09-22,16.5118
2015-09-21,16.9479
2015-09-18,17.5347
2015-09-17,17.9107
2015-09-16,18.6313
2015-09-15,19.0762
2015-09-14,19.4984
2015-09-11,19.4941
2015-09-10,19.5188
2015-09-09,19.5447
2015-09-08,19.6276
2015-09-04,19.5227
2015-09-03,18.9264
2015-09-02,18.6216
2015-09-01,17.9797
2015-08-31,16.8555
2015-08-28,16.0782
2015-08-27,15.3496
2015-08-26,14.4692
2015-08-25,12.8752
2015-08-24,11.1974
2015-08-21,9.4312
2015-08-20,8.5328
2015-08-19,8.8266
2015-08-18,9.0309
2015-08-17,8.9657
2015-08-14,9.0676
2015-08-13,9.3853
2015-08-12,9.7198
2015-08-11,10.1877
2015-08-10,10.5663
2015-08-07,10.3737
2015-08-06,10.5542
2015-08-05,10.6991
2015-08-04,9.9917
2015-08-03,9.6099
2015-07-31,9.6259
2015-07-30,9.6055
2015-07-29,9.5841
2015-07-28,9.9307
2015-07-27,9.8058
2015-07-24,9.9712
2015-07-23,10.4596
2015-07-22,10.9817
2015-07-21,11.5166
2015-07-20,11.0616
2015-07-17,10.7062
2015-07-16,10.5542
2015-07-15,10.4519
2015-07-14,10.8979
2015-07-13,11.3673
2015-07-10,11.8204
2015-07-09,11.9225
2015-07-08,12.03
2015-07-07,11.8915
2015-07-06,11.4082
2015-07-02,11.2687
2015-07-01,11.1896
2015-06-30,11.1302
2015-06-29,10.6705
2015-06-26,10.4206
2015-06-25,10.5662
2015-06-24,11.0361
2015-06-23,11.5651
2015-06-22,12.1682
2015-06-19,12.4476
2015-06-18,12.7417
2015-06-17,12.9307
2015-06-16,13.56
2015-06-15,14.2223
2015-06-12,14.6561
2015-06-11,15.1954
2015-06-10,15.608
2015-06-09,16.094
2015-06-08,16.7315
2015-06-05,17.5311
2015-06-04,18.4315
2015-06-03,19.1584
2015-06-02,19.5194
2015-06-01,20.1083
2015-05-29,20.7282
2015-05-28,21.4854
2015-05-27,21.7799
2015-05-26,22.2112
2015-05-22,23.1293
2015-05-21,23.6894
2015-05-20,24.1547
2015-05-19,24.4668
2015-05-18,24.8505
2015-05-15,25.1773
2015-05-14,25.2431
2015-05-13,25.3454
2015-05-12,25.6479
2015-05-11,26.2303
2015-05-08,26.2619
2015-05-07,26.198
2015-05-06,26.4772
2015-05-05,26.771
2015-05-04,26.2288
2015-05-01,24.9814
2015-04-30,23.4864
2015-04-29,21.7488
2015-04-28,19.9718
2015-04-27,18.1233
2015-04-24,16.4317
2015-04-23,14.651
2015-04-22,14.5733
2015-04-21,14.8192
2015-04-20,15.078
2015-04-17,15.3504
2015-04-16,15.5702
2015-04-15,16.3359
2015-04-14,17.1419
2015-04-13,17.6073
2015-04-10,18.0971
2015-04-09,18.5163
2015-04-08,18.6641
2015-04-07,18.8196
2015-04-06,19.1556
2015-04-02,19.4023
2015-04-01,18.7015
2015-03-31,18.0646
2015-03-30,17.5174
2015-03-27,17.1467
2015-03-26,16.6539
2015-03-25,16.1828
2015-03-24,15.9705
