date,RSI
2018-09-04,63.8055
2018-08-31,66.2298
2018-08-30,65.9757
2018-08-29,67.8344
2018-08-28,65.0705
2018-08-27,64.5168
2018-08-24,61.4824
2018-08-23,57.7469
2018-08-22,56.8881
2018-08-21,55.7123
2018-08-20,55.0774
2018-08-17,55.7737
2018-08-16,55.2361
2018-08-15,53.68
2018-08-14,57.6034
2018-08-13,55.4965
2018-08-10,56.0849
2018-08-09,59.6284
2018-08-08,59.5048
2018-08-07,58.7042
2018-08-06,57.5889
2018-08-03,56.0172
2018-08-02,54.9601
2018-08-01,51.0947
2018-07-31,48.0848
2018-07-30,47.1678
2018-07-27,52.3458
2018-07-26,59.2412
2018-07-25,66.8735
2018-07-24,63.2429
2018-07-23,61.5001
2018-07-20,59.8262
2018-07-19,59.7363
2018-07-18,61.434
2018-07-17,62.2092
2018-07-16,60.0544
2018-07-13,61.0963
2018-07-12,61.5738
2018-07-11,57.0711
2018-07-10,58.69
2018-07-09,58.0029
2018-07-06,55.7835
2018-07-05,52.1345
2018-07-03,47.1859
2018-07-02,51.4671
2018-06-29,48.1273
2018-06-28,48.28
2018-06-27,43.5118
2018-06-26,48.2956
2018-06-25,46.6534
2018-06-22,55.4348
2018-06-21,57.0304
2018-06-20,61.0205
2018-06-19,60.3009
2018-06-18,63.0275
2018-06-15,62.6809
2018-06-14,64.6511
2018-06-13,62.5764
2018-06-12,65.2144
2018-06-11,63.8447
2018-06-08,63.5329
2018-06-07,64.3233
2018-06-06,68.2206
2018-06-05,66.6658
2018-06-04,65.8208
2018-06-01,63.8351
2018-05-31,59.1253
2018-05-30,59.0401
2018-05-29,56.8627
2018-05-25,59.0861
2018-05-24,59.3763
2018-05-23,59.8229
2018-05-22,57.9053
2018-05-21,58.4248
2018-05-18,56.1845
2018-05-17,57.6099
2018-05-16,59.3866
2018-05-15,58.3354
2018-05-14,61.5581
2018-05-11,61.607
2018-05-10,62.0763
2018-05-09,59.4343
2018-05-08,56.7634
2018-05-07,56.2751
2018-05-04,54.7538
2018-05-03,50.3547
2018-05-02,49.8028
2018-05-01,50.0495
2018-04-30,47.1354
2018-04-27,48.5463
2018-04-26,48.9346
2018-04-25,44.8105
2018-04-24,44.7746
2018-04-23,48.2007
2018-04-20,48.9432
2018-04-19,51.8855
2018-04-18,54.3906
2018-04-17,54.996
2018-04-16,51.4602
2018-04-13,49.9229
2018-04-12,50.5794
2018-04-11,48.2584
2018-04-10,49.3453
2018-04-09,44.5046
2018-04-06,42.8738
2018-04-05,47.1086
2018-04-04,46.263
2018-04-03,43.3973
2018-04-02,41.3161
2018-03-29,45.2279
2018-03-28,40.9004
2018-03-27,41.9669
2018-03-26,47.8686
2018-03-23,38.5008
2018-03-22,43.9074
2018-03-21,50.6223
2018-03-20,52.4061
2018-03-19,52.5348
2018-03-16,58.8497
2018-03-15,59.2026
2018-03-14,59.0735
2018-03-13,59.341
2018-03-12,62.9998
2018-03-09,62.4016
2018-03-08,58.6173
2018-03-07,57.6908
2018-03-06,56.5194
2018-03-05,56.0632
2018-03-02,53.9521
2018-03-01,51.9163
2018-02-28,56.0746
2018-02-27,57.988
2018-02-26,60.8036
2018-02-23,57.8302
2018-02-22,53.4399
2018-02-21,53.1753
2018-02-20,54.7647
2018-02-16,54.5848
2018-02-15,54.9308
2018-02-14,51.2306
2018-02-13,47.3525
2018-02-12,46.8123
2018-02-09,42.8423
2018-02-08,36.8742
2018-02-07,44.6904
2018-02-06,47.7011
2018-02-05,39.2277
2018-02-02,51.1991
2018-02-01,64.9489
2018-01-31,64.6826
2018-01-30,62.3741
2018-01-29,67.4672
2018-01-26,73.2402
2018-01-25,68.9073
2018-01-24,70.1055
2018-01-23,75.6228
2018-01-22,74.5456
2018-01-19,71.9555
2018-01-18,71.4111
2018-01-17,70.9161
2018-01-16,66.2958
2018-01-12,69.0034
2018-01-11,67.088
2018-01-10,65.6937
2018-01-09,68.0259
2018-01-08,69.7649
2018-01-05,68.6451
2018-01-04,65.2725
2018-01-03,63.4882
2018-01-02,60.3188
2017-12-29,54.8746
2017-12-28,58.1357
2017-12-27,57.3568
2017-12-26,56.8717
2017-12-22,60.9156
2017-12-21,61.3008
2017-12-20,62.5215
2017-12-19,62.7039
2017-12-18,66.3855
2017-12-15,63.483
2017-12-14,59.2254
2017-12-13,59.9549
2017-12-12,59.8375
2017-12-11,60.0047
2017-12-08,56.8542
2017-12-07,55.0181
2017-12-06,52.5229
2017-12-05,49.8102
2017-12-04,49.6736
2017-12-01,57.2179
2017-11-30,60.0196
2017-11-29,56.5931
2017-11-28,71.4476
2017-11-27,70.3623
2017-11-24,70.3623
2017-11-22,68.5105
2017-11-21,69.8934
2017-11-20,66.2835
2017-11-17,64.8492
2017-11-16,69.6582
2017-11-15,64.253
2017-11-14,70.6378
2017-11-13,72.5317
2017-11-10,72.817
2017-11-09,72.817
2017-11-08,80.0657
2017-11-07,78.6822
2017-11-06,78.561
2017-11-03,78.0068
2017-11-02,75.8926
2017-11-01,75.7597
2017-10-31,75.7174
2017-10-30,74.5777
2017-10-27,73.976
2017-10-26,64.6709
2017-10-25,62.7416
2017-10-24,67.3539
2017-10-23,66.1356
2017-10-20,70.3929
2017-10-19,67.5909
2017-10-18,70.3685
2017-10-17,69.372
2017-10-16,69.372
2017-10-13,67.9452
2017-10-12,65.9594
2017-10-11,68.0304
2017-10-10,66.7063
2017-10-09,66.3086
2017-10-06,65.3249
2017-10-05,64.7381
2017-10-04,60.7404
2017-10-03,61.203
2017-10-02,60.1951
2017-09-29,59.5533
2017-09-28,56.599
2017-09-27,56.0655
2017-09-26,51.269
2017-09-25,49.4011
2017-09-22,56.1151
2017-09-21,55.8673
2017-09-20,59.2572
2017-09-19,61.9347
2017-09-18,60.0782
2017-09-15,59.7193
2017-09-14,58.0096
2017-09-13,60.0334
2017-09-12,60.84
2017-09-11,59.9453
2017-09-08,54.1116
2017-09-07,58.8804
2017-09-06,57.3942
2017-09-05,57.0252
2017-09-01,62.3601
2017-08-31,62.8976
2017-08-30,60.6417
2017-08-29,57.7103
2017-08-28,55.8509
2017-08-25,55.0243
2017-08-24,55.1134
2017-08-23,55.5407
2017-08-22,56.7102
2017-08-21,50.7258
2017-08-18,50.883
2017-08-17,51.3365
2017-08-16,61.1786
2017-08-15,60.0948
2017-08-14,59.5265
2017-08-11,53.1126
2017-08-10,49.8787
2017-08-09,61.6949
2017-08-08,62.0624
2017-08-07,63.0135
2017-08-04,60.4975
2017-08-03,59.526
2017-08-02,60.95
2017-08-01,59.8264
2017-07-31,57.7321
2017-07-28,60.6312
2017-07-27,61.2575
2017-07-26,63.5436
2017-07-25,62.2036
2017-07-24,63.3089
2017-07-21,62.5033
2017-07-20,63.162
2017-07-19,62.5187
2017-07-18,60.9531
2017-07-17,59.5127
2017-07-14,59.4581
2017-07-13,56.6809
2017-07-12,56.0517
2017-07-11,51.6883
2017-07-10,50.9167
2017-07-07,48.3021
2017-07-06,43.8247
2017-07-05,46.8863
2017-07-03,42.7854
2017-06-30,45.114
2017-06-29,45.423
2017-06-28,52.2193
2017-06-27,47.0235
2017-06-26,54.5352
2017-06-23,57.3744
2017-06-22,54.7642
2017-06-21,54.6134
2017-06-20,52.2692
2017-06-19,56.2776
2017-06-16,49.5848
2017-06-15,50.4457
2017-06-14,52.6946
2017-06-13,55.2203
2017-06-12,51.9809
2017-06-09,55.1052
2017-06-08,73.0546
2017-06-07,72.269
2017-06-06,71.1631
2017-06-05,72.8498
2017-06-02,72.569
2017-06-01,69.4477
2017-05-31,68.5319
2017-05-30,69.8099
2017-05-26,68.3129
2017-05-25,68.7175
2017-05-24,66.1802
2017-05-23,64.6123
2017-05-22,63.9214
2017-05-19,60.7156
2017-05-18,58.1461
2017-05-17,55.3731
2017-05-16,79.2105
2017-05-15,77.6578
2017-05-12,75.593
2017-05-11,74.5853
2017-05-10,76.0773
2017-05-09,74.631
2017-05-08,74.1359
2017-05-05,72.38
2017-05-04,70.8112
2017-05-03,71.5837
2017-05-02,73.4877
2017-05-01,72.6587
2017-04-28,69.57
2017-04-27,68.4125
2017-04-26,66.5108
2017-04-25,67.5647
2017-04-24,65.1139
2017-04-21,58.3943
2017-04-20,60.3216
2017-04-19,54.0324
2017-04-18,54.7191
2017-04-17,54.8847
2017-04-13,47.6596
2017-04-12,51.0581
2017-04-11,54.2055
2017-04-10,57.9781
2017-04-07,59.9603
2017-04-06,60.5503
2017-04-05,60.427
2017-04-04,64.6503
2017-04-03,64.2183
2017-03-31,65.1639
2017-03-30,67.0395
2017-03-29,66.1129
2017-03-28,65.2783
2017-03-27,61.4725
2017-03-24,61.4725
2017-03-23,61.0671
2017-03-22,63.2811
2017-03-21,60.0366
2017-03-20,74.4387
2017-03-17,74.2022
2017-03-16,73.3224
2017-03-15,73.0955
2017-03-14,70.2065
2017-03-13,72.6778
2017-03-10,72.2917
2017-03-09,70.0395
2017-03-08,70.2332
2017-03-07,69.7564
2017-03-06,69.7564
2017-03-03,71.1272
2017-03-02,70.2954
2017-03-01,76.3936
2017-02-28,71.4123
2017-02-27,76.6
2017-02-24,77.2396
2017-02-23,76.4937
2017-02-22,76.6927
2017-02-21,76.3419
2017-02-17,74.7151
2017-02-16,73.5638
2017-02-15,72.7789
2017-02-14,71.6457
2017-02-13,70.4783
2017-02-10,68.8288
2017-02-09,67.7109
2017-02-08,66.4934
2017-02-07,65.8043
2017-02-06,64.2523
2017-02-03,64.0196
2017-02-02,61.3934
2017-02-01,62.7111
2017-01-31,59.5792
2017-01-30,62.88
2017-01-27,68.8203
2017-01-26,67.3928
2017-01-25,69.5091
2017-01-24,66.0351
2017-01-23,63.4824
2017-01-20,62.7095
2017-01-19,60.3154
2017-01-18,61.2844
2017-01-17,60.155
2017-01-13,62.6944
2017-01-12,61.4747
2017-01-11,63.0412
2017-01-10,61.2429
2017-01-09,61.1649
2017-01-06,61.2821
2017-01-05,58.5659
2017-01-04,57.9431
2017-01-03,56.6268
2016-12-30,53.0997
2016-12-29,56.9905
2016-12-28,56.9116
2016-12-27,61.6401
2016-12-23,60.2126
2016-12-22,59.8578
2016-12-21,60.8894
2016-12-20,61.9029
2016-12-19,60.7868
2016-12-16,58.5433
2016-12-15,61.9305
2016-12-14,60.5832
2016-12-13,62.1992
2016-12-12,58.4183
